date,open,high,low,close,adjClose,volume,unadjustedVolume,vwap
1995-06-07,898.98,904.94,897.83,899.36,899.36,0,0,900.2775
1995-06-08,899.61,903.62,890.61,890.68,890.68,0,0,896.13
1995-06-09,889.92,890.79,885.15,886.83,886.83,0,0,888.1725
1995-06-12,884.6,887.84,883.98,884.4,884.4,0,0,885.205
1995-06-13,887.08,892.57,887.08,887.32,887.32,0,0,888.5125
1995-06-14,887.99,890.23,884.72,886.56,886.56,0,0,887.375
1995-06-15,885.83,886.56,880.9,880.91,880.91,0,0,883.55
1995-06-16,880.8,882.31,877.61,879.24,879.24,0,0,879.99
1995-06-19,880.87,886.31,879.92,886.31,886.31,0,0,883.3525
1995-06-20,885.79,888.81,883.16,884.35,884.35,0,0,885.5275
1995-06-21,883.49,883.69,878.59,878.82,878.82,0,0,881.1475
1995-06-22,877.65,879.32,869.34,871.18,871.18,0,0,874.3725
1995-06-23,871.14,873.14,866.13,871.96,871.96,0,0,870.5925
1995-06-26,871.99,873.09,867.91,868.77,868.77,0,0,870.44
1995-06-28,866.64,887.11,859.11,872.68,872.68,0,0,871.385
1995-06-29,872.9,883.92,872.9,883.9,883.9,0,0,878.405
1995-06-30,880.64,894.45,879.04,894.41,894.41,0,0,887.135
1995-07-03,909.64,914.12,907.05,914.1,914.1,0,0,911.2275
1995-07-04,914.14,914.14,904.93,907.68,907.68,0,0,910.2225
1995-07-05,907.66,911.9,904.78,904.98,904.98,0,0,907.33
1995-07-06,905.51,915.03,904.56,914.95,914.95,0,0,910.0125
1995-07-07,915.23,942.39,915.23,942.39,942.39,0,0,928.81
1995-07-10,946.99,966.76,946.91,961.84,961.84,0,0,955.625
1995-07-11,962.02,978.99,956.58,959.99,959.99,0,0,964.395
1995-07-12,960.35,967.69,953.92,962.22,962.22,0,0,961.045
1995-07-13,962.32,984.18,962.32,977.29,977.29,0,0,971.5275
1995-07-14,977.42,986.67,968.77,972.02,972.02,0,0,976.22
1995-07-18,966.53,975.47,961.01,961.01,961.01,0,0,966.005
1995-07-19,961.11,961.25,948.37,950.11,950.11,0,0,955.21
1995-07-20,950.63,961.42,949.92,961.41,961.41,0,0,955.845
1995-07-21,961.65,970.56,958.74,964.56,964.56,0,0,963.8775
1995-07-24,962.94,968.89,962.91,965.36,965.36,0,0,965.025
1995-07-25,964.72,966.77,953.27,953.53,953.53,0,0,959.5725
1995-07-26,953.43,957.44,944.32,945.99,945.99,0,0,950.295
1995-07-27,946.05,950.63,940.75,940.75,940.75,0,0,944.545
1995-07-28,940.64,941.09,932.75,932.82,932.82,0,0,936.825
1995-07-31,928.47,933.57,927.16,933.57,933.57,0,0,930.6925
1995-08-01,933.34,945.0,932.59,944.6,944.6,0,0,938.8825
1995-08-02,944.41,944.71,933.35,935.7,935.7,0,0,939.5425
1995-08-03,935.7,935.7,921.92,922.95,922.95,0,0,929.0675
1995-08-04,922.86,922.86,911.77,917.47,917.47,0,0,918.74
1995-08-07,913.89,914.15,907.84,907.84,907.84,0,0,910.93
1995-08-08,907.37,912.65,898.95,901.87,901.87,0,0,905.21
1995-08-09,902.21,924.46,902.21,924.41,924.41,0,0,913.3225
1995-08-10,924.69,929.15,913.68,916.01,916.01,0,0,920.8825
1995-08-11,916.2,920.01,910.28,914.23,914.23,0,0,915.18
1995-08-14,910.16,916.98,908.69,908.69,908.69,0,0,911.13
1995-08-16,908.82,911.57,901.37,904.44,904.44,0,0,906.55
1995-08-17,904.29,904.72,896.23,902.82,902.82,0,0,902.015
1995-08-18,902.73,907.05,895.85,906.9,906.9,0,0,903.1325
1995-08-21,908.8,915.74,908.51,913.31,913.31,0,0,911.59
1995-08-22,913.34,918.53,913.34,917.79,917.79,0,0,915.75
1995-08-23,917.79,926.43,917.79,925.81,925.81,0,0,921.955
1995-08-24,925.72,929.1,925.42,927.82,927.82,0,0,927.015
1995-08-25,926.99,929.17,921.04,921.1,921.1,0,0,924.575
1995-08-28,921.7,928.36,918.84,922.44,922.44,0,0,922.835
1995-08-29,922.17,922.24,914.6,916.46,916.46,0,0,918.8675
1995-08-30,915.51,918.12,914.1,914.71,914.71,0,0,915.61
1995-08-31,913.88,917.39,909.36,914.06,914.06,0,0,913.6725
1995-09-01,913.67,917.0,905.1,911.36,911.36,0,0,911.7825
1995-09-04,918.47,924.21,918.47,922.49,922.49,0,0,920.91
1995-09-05,922.36,929.09,920.5,928.96,928.96,0,0,925.2275
1995-09-06,929.02,944.71,929.02,944.52,944.52,0,0,936.8175
1995-09-07,944.52,955.69,944.52,953.81,953.81,0,0,949.635
1995-09-11,954.05,958.45,945.39,950.98,950.98,0,0,952.2175
1995-09-12,950.89,956.22,949.32,952.28,952.28,0,0,952.1775
1995-09-13,952.31,968.54,952.31,968.32,968.32,0,0,960.37
1995-09-14,968.88,980.51,963.18,965.72,965.72,0,0,969.5725
1995-09-15,965.86,985.65,965.86,985.64,985.64,0,0,975.7525
1995-09-18,995.65,1001.33,989.67,1000.21,1000.21,0,0,996.715
1995-09-19,1000.26,1014.65,992.57,992.57,992.57,0,0,1000.0125
1995-09-20,992.55,1009.51,988.48,1009.47,1009.47,0,0,1000.0025
1995-09-21,1009.42,1020.44,1008.55,1012.29,1012.29,0,0,1012.675
1995-09-22,1012.66,1013.64,997.73,997.73,997.73,0,0,1005.44
1995-09-25,990.84,998.54,985.2,985.2,985.2,0,0,989.945
1995-09-26,983.99,985.75,977.69,983.82,983.82,0,0,982.8125
1995-09-27,983.75,985.56,979.86,980.78,980.78,0,0,982.4875
1995-09-28,980.92,990.03,980.24,985.88,985.88,0,0,984.2675
1995-09-29,985.93,990.3,985.71,987.1,987.1,0,0,987.26
1995-10-02,982.43,984.35,974.71,975.79,975.79,0,0,979.32
1995-10-04,975.62,987.69,974.05,982.89,982.89,0,0,980.0625
1995-10-05,982.7,989.24,977.81,989.05,989.05,0,0,984.7
1995-10-06,989.33,1007.49,989.33,1002.07,1002.07,0,0,997.055
1995-10-09,1003.41,1015.12,1003.41,1008.29,1008.29,0,0,1007.5575
1995-10-10,1008.32,1015.24,1003.73,1004.16,1004.16,0,0,1007.8625
1995-10-11,1004.07,1011.87,1004.02,1011.0,1011.0,0,0,1007.74
